,topicsAll,topic0,topic1,topic2,topic3,topic4,topic5,model0,method0,method1,method2,method3,method4,method5,method6,method7,id,model1,method8,method9,method10,topic6,topic7,model2,model3,method11,method12,method13,method14,method15,method16,method17,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,method18
0,"Cellular neuroscience, Molecular neuroscience","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)",Molecular neuroscience; Genertics; Proteins,"Clinical neuroscience; Neurological disorders (Huntingtons disease (Huntington's chorea; Huntington's disease; Huntingtons chorea), RNA stable hairpins, CAG repeat RNAs); Neural prosthetics (Neuroprosthetics)",,,,In vivo (Animal model; Transgenic); R6/2 mouse HD model,In situ hybridization,"Gene expression; Transcriptomics, Microarrays",,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Molecular neuroscience","Cognitive neuroscience; Cognition, Memory",Molecular neuroscience; Genertics; Proteins,,,,,In vivo (Animal model; Transgenic); Human (MCI patients),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Magnetoencephalography (MEG), Functional connectivity analysis, Source reconstruction",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,67,In humans; Human (MCI patients),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Developmental neuroscience, Cognitive neuroscience","Cognitive neuroscience; Cognition, Memory, Cognitive reserve",model,,,,,In humans; Adult,Stereotactics,Behavioral tests (behavioral analysis; cognitive tests),Molecular biology (PCR),Immunohistochemistry,Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); There is no specific mention of any of the provided research methods in the scientific paper.,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Molecular neuroscience",patient,patient,Molecular neuroscience; Proteins; Genertics,"Clinical neuroscience; Neurological disorders (Amyloid, Tau, Alzheimer disease)",,,In vivo (Animal model; Transgenic); 3xTg-AD Mice,Immunohistochemistry,Molecular biology (Western Blott),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)",Molecular neuroscience; Metabolism; Proteins; Genertics,,,,,In vivo (Animal model; Transgenic); Mouse (mice),Cell culture,Molecular biology (PCR),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Immunogold electron microscopy, In silico subcellular protein localization analysis, [35S]GTPγ binding assays, Semi-quantification of immunogold electron microscopy images","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Immunogold electron microscopy, In silico subcellular protein localization analysis, [35S]GTPγ binding assays, Semi-quantification of immunogold electron microscopy images",,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Sports, Cognitive neuroscience","Cognitive neuroscience; Cognition, Attention",sport,,,,,In vivo (Animal model; Transgenic); Human participants,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Behavioral tests (behavioral analysis; cognitive tests),,,,,,,66,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cognitive neuroscience, Music","Cognitive neuroscience; Cognition, Neuroeconomics (Neuroeconomists; Neuromarketing)",music,,,,,In vivo (Animal model; Transgenic); Human participants,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Behavioral tests (behavioral analysis; cognitive tests),,,,,,,72,In humans; Participants (Musicians and Non-musicians),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Molecular neuroscience, Genetics, Neurodegenerative diseases, Alzheimer's disease",Molecular neuroscience; Genertics; Proteins,model,Diagnose,,,, In vitro (Culture),Molecular biology (PCR), Bioinformatics,Immunohistochemistry,"Gene expression; Transcriptomics, Epigenomics, GWAS",Gene Edition,Stereotactics,Cell culture,Immunofluorescence,167,In vivo (Animal model; Transgenic); Mouse (mice),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); DNA methylation and RNA expression analyses were performed using epigenomic studies and genome-wide association studies (GWAS) data. Chromatin-conformation capture assays (3C) and chromatin immunoprecipitation (ChIP) assays were used to investigate the chromatin structure and binding of specific proteins. Luciferase reporter assays were conducted to test the transcription-altering properties of a predicted enhancer region. In vitro and in vivo experiments were performed using neuroblastoma cells, primary hippocampal cultures, and an APP/PS1 mouse model of Alzheimer's disease. Virus-mediated overexpression and antisense oligonucleotides (ASOs) were used to manipulate PM20D1 levels. The novel object recognition (NOR) test and immunohistochemistry (IHC) were used to assess memory performance and amyloid-related pathology.",,,,,In humans; Cell culture,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Mental Health","Clinical neuroscience; Neurological disorders (Suicidality, Adolescent mental health)","Developmental neuroscience; Cognitive development (Suicidality, Mental health)",,,,,In humans; Adolescent,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Neurophysiology","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)",Molecular neuroscience; Metabolism; Proteins,,,,, In vitro (Culture),Stereotactics,Optogenetics,Molecular biology (PCR), Bioinformatics,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Super-resolution imaging of the extracellular space in living brain tissue has been conducted using the following research methods: 3D-STED microscopy, labeling of the extracellular fluid with a diffusible fluorophore, and time-lapse imaging.","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Super-resolution imaging of the extracellular space in living brain tissue has been conducted using the following research methods: 3D-STED microscopy, labeling of the extracellular fluid with a diffusible fluorophore, and time-lapse imaging.",Immunohistochemistry,Immunofluorescence,173,In vivo (Animal model; Transgenic); Mouse (mice),In situ hybridization,Gene expression; Super-resolution imaging of the extracellular space in living brain tissue does not explicitly mention the use of any of the provided research methods.,Behavioral tests (behavioral analysis; cognitive tests),,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Cognitive neuroscience","Clinical neuroscience; Neurological disorders (Fear learning, Amygdala, Neurokinin B, Neurokinin 3 receptor, Fear memory consolidation)",Molecular neuroscience; Genertics; Proteins,Neurophysiology; Neural mechanisms; Neurotransmission; Neural mechanisms; Hormone,,,,In vivo (Animal model; Transgenic); Mouse (mice),Optogenetics,In situ hybridization,Immunohistochemistry,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Stereotactics,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,205, In vitro (Culture),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)","Clinical neuroscience; Neurological disorders (Amyloid, Parkinsons disease)",Molecular neuroscience; Proteins; Genertics,,,, In vitro (Culture),Molecular biology (Western Blott),Molecular biology (PCR),Cell culture,,,,,,207,In vivo (Animal model; Transgenic); Mouse (mice),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cognitive neuroscience, Complex systems, Quantitative sociology","Cognitive neuroscience; Cognition, Complex systems",,,,,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Psycholinguistics, Bilingualism, Cognitive neuroscience","Cognitive neuroscience; Cognition, Memory","Developmental neuroscience; Cognitive development (Dyslexia, Learning); Brain development",,,,,"In humans; Bilingual, Monolingual",Gene Edition,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Molecular neuroscience","Behavioral neuroscience; Neuroethology, Mental Health","Clinical neuroscience; Neurological disorders (Alzheimer disease (Alzheimer's disease; Alzheimers disease), Dementia)",model,Molecular neuroscience; Metabolism; Genertics,,,In vivo (Animal model; Transgenic); 3xTg-AD Mice,Cell culture,Behavioral tests (behavioral analysis; cognitive tests),,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Cognitive neuroscience","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)","Cognitive neuroscience; Cognition, Memory",Molecular neuroscience; Proteins; Genertics,"Treatment (Therapy) (Neuroscience, Alzheimer's disease)",,,In vivo (Animal model; Transgenic); Mouse (mice),Cell culture,Molecular biology (Western Blott),Immunohistochemistry,Behavioral tests (behavioral analysis; cognitive tests),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cognitive neuroscience, Behavioral neuroscience","Cognitive neuroscience; Cognition, Consciousness","Behavioral neuroscience; Neuroethology, Psychology, None",,,,,In humans; Participants,Behavioral tests (behavioral analysis; cognitive tests),,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Behavioral neuroscience, Psychology, Neuroethology, Psycholinguistics, Psychophysics, Psychophysiology, Emotional Psychology
2. Cellular neuroscience, Glia, Neurons, Neurovascular
3. Clinical neuroscience, Neurology, Neurological disorders
4. Cognitive neuroscience, Cognition, Consciousness, Neuroeconomics, Memory, Cognitive reserve
5. Developmental neuroscience, Axon growth, Brain development, Cognitive development
7. Molecular neuroscience, Metabolism, Proteins, Genetics
8. Neurophysiology, Brain, Cerebellum, Spinal chord, Peripheral nervous system, Motor control, Myelination, Neurotransmission, Sensory systems
11. Treatment, Stem cells, Rehabilitation, Pharmacology, Neurosurgery
12. Diagnose, Marker, Symptom","Cellular neuroscience; Neurons, Glia","Behavioral neuroscience; Neuroethology, Psychology, Mental Health",Molecular neuroscience; Metabolism; Genertics; Proteins,"Clinical neuroscience; Neurological disorders (Food addiction, Cannabinoid type-1 receptor, Glutamatergic neurons, Medial prefrontal cortex (mPFC), Nucleus accumbens (NAc), Dopamine D2 receptor)",,,In vivo (Animal model; Transgenic); Mouse (mice),Cell culture,Molecular biology (PCR),Immunofluorescence,Behavioral tests (behavioral analysis; cognitive tests),,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Topics: Social neuroscience, Psychology",model,model,model,,,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Nervous System Tumour, Treatment","Cellular neuroscience; Neurons, Glia","Clinical neuroscience; Neurological disorders (Neuroblastoma, Tumour aggressiveness, Poor survival, CD44 expression, Neural crest stem-like cells)","Nervous System Tumour (Tumor; cancer) (Neuroblastoma, CD44, Tumour aggressiveness, Poor survival, Metastasis)","Treatment (Therapy) (Steam cells, Transplantation)",,, In vitro (Culture),"Gene expression; Transcriptomics, Immunofluorescence and IHC, Fluorescence-activated cell sorting (FACS), QPCR, Tumoursphere formation assay, Adhesion, spreading, migration and proliferation assays, Differentiation assay, PDXs and xenograft experiments, Statistical analysis",Cell culture,Immunofluorescence,Cell culture,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Immunohistochemistry,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,71,"In vivo (Animal model; Transgenic); Mouse (mice), Patient-derived xenografts (PDXs)",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Xenografts,,,,,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience",Clinical neuroscience; Neural prosthetics (Neuroprosthetics),artificial intelligence,,,,,In silico (Computational model; Computational neuroscience; Computational neuroscientists; Neuroinformatics; Neuroinformaticians),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Magnetic resonance imaging (MRI), Convolutional neural network (CNN), Regularly spaced shifting model",,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Molecular neuroscience, Treatment",Molecular neuroscience; Proteins,Treatment (Therapy) (Pharmacology),,,,, In vitro (Culture),Molecular biology (PCR), Bioinformatics,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,170,In vivo (Animal model; Transgenic); There is no specific mention of an experimental model in this scientific paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Psychology, Prejudice","Cognitive neuroscience; Cognition, Consciousness, Memory","Developmental neuroscience; Cognitive development (Learning, Learning disabilities); Brain development","Clinical neuroscience; Neurological disorders (Prejudice, Personality traits, Ideological attitudes)",,,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Clinical neuroscience, Molecular neuroscience","Cellular neuroscience; Glia, Neurons","Clinical neuroscience; Brain stimulation; Neural prosthetics (Neuroprosthetics); Neurological disorders (Occupational exposure to high-frequency electromagnetic fields, Brain tumor risk)","Nervous System Tumour (Tumor; cancer) (Glioblastoma, Flioma, Neuroblastoma, Ependimoma, Adenoma, Prolactinoma, Chemotherapy, Radiotherapy, Pediatric Cancer, Metastasis)",,,,In humans; Human (Adult),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Clinical neuroscience","Behavioral neuroscience; Neuroethology, Psychology, Mental Health","Clinical neuroscience; Neurological disorders (Brain imaging, Intimate Partner Violence (IPV))","Cognitive neuroscience; Neuroeconomics, Cognition",Molecular neuroscience; Genertics,,,In vivo (Animal model; Transgenic); Human participants (Batterers and other criminals),Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); fMRI,,,,,,,,206,"In humans; Male, Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Molecular neuroscience","Clinical neuroscience; Neurological disorders (Alzheimer disease (Alzheimer's disease; Alzheimers disease), Amyloid, Tau, Neurodegenerative diseases (Neurodegeneration; Neurodegenerative disorders), Dementia)",Molecular neuroscience; Proteins; Genertics,"Neuroimmunity (Inflammation (Enchephalitis), Neuroinflammation)",,,, In vitro (Culture),Immunohistochemistry,Immunofluorescence,Gene Edition,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Immunohistochemistry, Immunofluorescence, Cryogenic transmission electron microscopy (cryo-TEM), Western blotting, ELISA plates, XTT (cell viability) assay, Phagocytosis experiments, Sequential protein extraction, Genotyping, Stochastic optical reconstruction microscopy (STORM), Endotoxin test, TREM2-DAP12 reporter cell line",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Cell culture,Cell culture,103,In vivo (Animal model; Transgenic); Mouse (mice),Cell culture,Cell culture,Gene Edition,,,,,Molecular biology (Western Blott),Immunohistochemistry,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Immunohistochemistry, Immunofluorescence, Cryogenic transmission electron microscopy (cryo-TEM), Western blotting, ELISA plates, XTT (cell viability) assay, Phagocytosis experiments, Sequential protein extraction, Genotyping, Stochastic optical reconstruction microscopy (STORM), Endotoxin test, TREM2-DAP12 reporter cell line",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,,,,,,,,,,
0,"Developmental neuroscience, Cellular neuroscience","Developmental neuroscience; Brain development; Cognitive development (Learning, Learning disabilities)",Cellular neuroscience; Neurons(Nerve cells; Neuronal cells),,,,,In vivo (Animal model; Transgenic); Mouse (mice),Immunohistochemistry,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Gene expression; Calcium imaging, Electrophysiology",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Calcium imaging, Electrophysiology, Genetic manipulation",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Immunohistochemistry,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Neuroscience, Cognitive neuroscience","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)","Cognitive neuroscience; Cognition, Neuroeconomics (Neuroeconomists; Neuromarketing)",Developmental neuroscience; Brain development; Cognitive development (Learning),Molecular neuroscience; Genertics,Neurophysiology; Brain; Neural mechanisms; Neural Pathways; Neuroplasticity,,In silico (Computational model; Computational neuroscience; Computational neuroscientists; Neuroinformatics; Neuroinformaticians),Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Geometric Renormalization,Molecular biology (PCR), Bioinformatics,Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Geometric Renormalization,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Clinical neuroscience,"Clinical neuroscience; Neurological disorders (Pain, Stroke, Neurological disorders)",Treatment (Therapy) (Rehabilitation),,,,,None,Cell culture,Molecular biology (PCR),Behavioral tests (behavioral analysis; cognitive tests),,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience","Cellular neuroscience; Glia, Neurons",Molecular neuroscience; Proteins; Genertics,"Nervous System Tumour (Tumor; cancer) (Glioblastoma, EGFR)",,,, In vitro (Culture),Immunohistochemistry,Molecular biology (PCR),Molecular biology (Western Blott),Cell culture, Bioinformatics,Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Small-angle X-ray scattering (SAXS),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Small-angle X-ray scattering (SAXS),116,In vivo (Animal model; Transgenic); The experimental model used in this scientific study is not explicitly mentioned in the provided text.,Immunofluorescence,In situ hybridization,Behavioral tests (behavioral analysis; cognitive tests),,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Neurology, Neuroimaging, Neurodegenerative diseases","Clinical neuroscience; Brain stimulation; Neurological disorders (Huntingtons disease (Huntington's chorea; Huntington's disease; Huntingtons chorea), Neurodegenerative diseases (Neurodegeneration; Neurodegenerative disorders))","Cognitive neuroscience; Cognition, Neuroeconomics (Neuroeconomists; Neuromarketing), Memory",Molecular neuroscience; Genertics; Autopahgy,,,,In vivo (Animal model; Transgenic); Mouse (mice),Histology,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Linked independent component analysis, Voxel-based morphometry, Cortical thickness, Diffusion weighted MRI, Tract-Based Spatial Statistics","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Linked independent component analysis, Voxel-based morphometry, Cortical thickness, Diffusion weighted MRI, Tract-Based Spatial Statistics","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Linked independent component analysis, Voxel-based morphometry, Cortical thickness, Diffusion weighted MRI, Tract-Based Spatial Statistics","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Linked independent component analysis, Voxel-based morphometry, Cortical thickness, Diffusion weighted MRI, Tract-Based Spatial Statistics","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Linked independent component analysis, Voxel-based morphometry, Cortical thickness, Diffusion weighted MRI, Tract-Based Spatial Statistics",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Linked independent component analysis, Voxel-based morphometry, Cortical thickness, Diffusion weighted MRI, Tract-Based Spatial Statistics",102,In humans; Human (HD gene carriers),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Behavioral neuroscience, Psychology, Psycholinguistics, Social neuroscience
2. Cellular neuroscience
3. Clinical neuroscience
4. Cognitive neuroscience
5. Developmental neuroscience
6. None
7. Molecular neuroscience
8. Neurophysiology
9. None
10. None
11. None
12. None
13. None","Cognitive neuroscience; Cognition, Consciousness, Reaction time, Memory","Developmental neuroscience; Cognitive development (Learning, Attention deficit disorder, Attention deficit hyperactivity disorder (ADHD))",,,,,"In humans; White participants, Black participants",Immunohistochemistry,Immunofluorescence,Behavioral tests (behavioral analysis; cognitive tests),,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cognitive neuroscience, Developmental neuroscience",school,"Cognitive neuroscience; Cognition, Consciousness, Memory",,,,,In vivo (Animal model; Transgenic); There is no mention of any specific experimental model used in this scientific paper.,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); The research methods used in the scientific paper are: 
1. Semi-structured individual interview
2. Content analysis
3. Multiple linear regression analysis","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); The research methods used in the scientific paper are: 
1. Semi-structured individual interview
2. Content analysis
3. Multiple linear regression analysis",,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cognitive neuroscience, Human-Computer Interaction","Cognitive neuroscience; Cognition, Consciousness",artificial intelligence,music,,,,In vivo (Animal model; Transgenic); Human participants,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Motion Capture, Mapping by Observation",Behavioral tests (behavioral analysis; cognitive tests),,,,,,,128,In humans; Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience","Cellular neuroscience; Glia, Neurons",Molecular neuroscience; Genertics; Proteins,Neurophysiology; Brain;  Cerebellum; Spinal Chord; Injury; Motor control; Myelination; Neural mechanisms; Neural Pathways; Neuroplasticity; Hormone; Neurotransmission,"Nervous System Tumour (Tumor; cancer) (Glioblastoma, Chemotherapy)","Treatment (Therapy) (Transplantation, Pharmacology, Neurosurgery)",, In vitro (Culture),"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); RNA sequencing, PCR, Sanger sequencing, Clonogenic assay, Western blot analysis, Break-apart fluorescence in situ hybridization (FISH), Real-time quantitative PCR, Immunohistochemistry, Bioluminescence imaging (BLI), RT-PCR analysis, Ultracentrifugation, Liquid biopsy",Molecular biology (PCR),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); RNA sequencing, PCR, Sanger sequencing, Clonogenic assay, Western blot analysis, Break-apart fluorescence in situ hybridization (FISH), Real-time quantitative PCR, Immunohistochemistry, Bioluminescence imaging (BLI), RT-PCR analysis, Ultracentrifugation, Liquid biopsy",Molecular biology (Western Blott),Immunohistochemistry,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,In situ hybridization,29,"In vivo (Animal model; Transgenic); Mouse (mice), Cell lines (U251 and U87), Patient-derived cell line (h543 GBM tumor spheres), Xenograft models in nu/nu mice","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); RNA sequencing, PCR, Sanger sequencing, Clonogenic assay, Western blot analysis, Break-apart fluorescence in situ hybridization (FISH), Real-time quantitative PCR, Immunohistochemistry, Bioluminescence imaging (BLI), RT-PCR analysis, Ultracentrifugation, Liquid biopsy",Gene Edition,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Neurology, Neurological disorders, Delirium, Central nervous system, SARS-CoV-2 infection","Clinical neuroscience; Neurological disorders (Delirium, Central Nervous System manifestations, SARS-CoV-2 infection, Hypoxia, Neuronal inflammation, Direct CNS invasion, Neuronal toxicity)","Neuroimmunity (Inflammation (Encephalitis), Neuroinflammation)",,,,,None,Immunohistochemistry,In situ hybridization,Molecular biology (PCR), Bioinformatics,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Mental Health, Developmental neuroscience",violence,"Behavioral neuroscience; Psychology, Mental Health","Clinical neuroscience; Neurological disorders (Violence in Children and Adolescents, Moral disengagement, Victimization, Empathy, Social and Emotional Competencies)","Developmental neuroscience; Cognitive development (Violence, Victimization, Empathy, Social and Emotional Competencies)",,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Molecular neuroscience",Cellular neuroscience; Neurons(Nerve cells; Neuronal cells),Molecular neuroscience; Proteins; Genertics,artificial intelligence,,,,In silico (Computational model; Computational neuroscience; Computational neuroscientists; Neuroinformatics; Neuroinformaticians),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cognitive neuroscience, Psychology",none,,,,,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Cognitive neuroscience","Cognitive neuroscience; Neuroeconomics (Neuroeconomists; Neuromarketing), Cognition",Molecular neuroscience; Autopahgy; Autopahgy,,,,,In humans; Human participants,Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Diffusion tensor imaging and probabilistic tractography,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"1. Behavioral neuroscience, Cognitive neuroscience, Developmental neuroscience, Molecular neuroscience","Developmental neuroscience; Cognitive development (Learning, Nutrition)",diet,,,,,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
